Episode,Agent,Position,Total Reward
1,Agent_0,"(9, 9)",-929
1,Agent_1,"(9, 9)",-683
1,Agent_2,"(9, 9)",-623
1,Agent_3,"(9, 9)",-665
2,Agent_0,"(9, 9)",-118
2,Agent_1,"(9, 9)",-209
2,Agent_2,"(9, 9)",-69
2,Agent_3,"(9, 9)",-179
3,Agent_0,"(9, 9)",-158
3,Agent_1,"(9, 9)",-219
3,Agent_2,"(9, 9)",-224
3,Agent_3,"(9, 9)",-35
4,Agent_0,"(9, 9)",-57
4,Agent_1,"(9, 9)",-125
4,Agent_2,"(9, 9)",-240
4,Agent_3,"(9, 9)",-289
5,Agent_0,"(9, 9)",-195
5,Agent_1,"(9, 9)",-287
5,Agent_2,"(9, 9)",-257
5,Agent_3,"(9, 9)",-90
6,Agent_0,"(9, 9)",-176
6,Agent_1,"(9, 9)",-112
6,Agent_2,"(9, 9)",-73
6,Agent_3,"(9, 9)",-177
7,Agent_0,"(9, 9)",-149
7,Agent_1,"(9, 9)",-123
7,Agent_2,"(9, 9)",-99
7,Agent_3,"(9, 9)",-186
8,Agent_0,"(9, 9)",-147
8,Agent_1,"(9, 9)",-42
8,Agent_2,"(9, 9)",-182
8,Agent_3,"(9, 9)",-85
9,Agent_0,"(9, 9)",-59
9,Agent_1,"(9, 9)",-356
9,Agent_2,"(9, 9)",-213
9,Agent_3,"(9, 9)",-241
10,Agent_0,"(9, 9)",-174
10,Agent_1,"(9, 9)",-71
10,Agent_2,"(9, 9)",-148
10,Agent_3,"(9, 9)",-195
11,Agent_0,"(9, 9)",-119
11,Agent_1,"(9, 9)",-92
11,Agent_2,"(9, 9)",-280
11,Agent_3,"(9, 9)",-273
12,Agent_0,"(9, 9)",-346
12,Agent_1,"(9, 9)",-133
12,Agent_2,"(9, 9)",-125
12,Agent_3,"(9, 9)",-193
13,Agent_0,"(9, 9)",-331
13,Agent_1,"(9, 9)",-223
13,Agent_2,"(9, 9)",-132
13,Agent_3,"(9, 9)",-22
14,Agent_0,"(9, 9)",-28
14,Agent_1,"(9, 9)",-103
14,Agent_2,"(9, 9)",-189
14,Agent_3,"(9, 9)",-298
15,Agent_0,"(9, 9)",-222
15,Agent_1,"(9, 9)",-255
15,Agent_2,"(9, 9)",-443
15,Agent_3,"(9, 9)",-185
16,Agent_0,"(9, 9)",-53
16,Agent_1,"(9, 9)",-106
16,Agent_2,"(9, 9)",-147
16,Agent_3,"(9, 9)",-210
17,Agent_0,"(9, 9)",-164
17,Agent_1,"(9, 9)",-225
17,Agent_2,"(9, 9)",-229
17,Agent_3,"(9, 9)",-101
18,Agent_0,"(9, 9)",-85
18,Agent_1,"(9, 9)",-125
18,Agent_2,"(9, 9)",-68
18,Agent_3,"(9, 9)",-144
19,Agent_0,"(9, 9)",-103
19,Agent_1,"(9, 9)",-147
19,Agent_2,"(9, 9)",-57
19,Agent_3,"(9, 9)",-85
20,Agent_0,"(9, 9)",-190
20,Agent_1,"(9, 9)",-107
20,Agent_2,"(9, 9)",-36
20,Agent_3,"(9, 9)",-203
21,Agent_0,"(9, 9)",-161
21,Agent_1,"(9, 9)",-162
21,Agent_2,"(9, 9)",-225
21,Agent_3,"(9, 9)",-72
22,Agent_0,"(9, 9)",-226
22,Agent_1,"(9, 9)",-61
22,Agent_2,"(9, 9)",-132
22,Agent_3,"(9, 9)",-38
23,Agent_0,"(9, 9)",-116
23,Agent_1,"(9, 9)",-58
23,Agent_2,"(9, 9)",-91
23,Agent_3,"(9, 9)",-51
24,Agent_0,"(9, 9)",-56
24,Agent_1,"(9, 9)",-87
24,Agent_2,"(9, 9)",-55
24,Agent_3,"(9, 9)",-118
25,Agent_0,"(9, 9)",-57
25,Agent_1,"(9, 9)",-58
25,Agent_2,"(9, 9)",-20
25,Agent_3,"(9, 9)",-64
26,Agent_0,"(9, 9)",-29
26,Agent_1,"(9, 9)",-58
26,Agent_2,"(9, 9)",-87
26,Agent_3,"(9, 9)",-119
27,Agent_0,"(9, 9)",-45
27,Agent_1,"(9, 9)",-158
27,Agent_2,"(9, 9)",-26
27,Agent_3,"(9, 9)",-147
28,Agent_0,"(9, 9)",-18
28,Agent_1,"(9, 9)",-111
28,Agent_2,"(9, 9)",-122
28,Agent_3,"(9, 9)",-72
29,Agent_0,"(9, 9)",-42
29,Agent_1,"(9, 9)",-89
29,Agent_2,"(9, 9)",-57
29,Agent_3,"(9, 9)",-69
30,Agent_0,"(9, 9)",-155
30,Agent_1,"(9, 9)",-61
30,Agent_2,"(9, 9)",-91
30,Agent_3,"(9, 9)",-82
31,Agent_0,"(9, 9)",-151
31,Agent_1,"(9, 9)",-56
31,Agent_2,"(9, 9)",-60
31,Agent_3,"(9, 9)",-27
32,Agent_0,"(9, 9)",-48
32,Agent_1,"(9, 9)",-28
32,Agent_2,"(9, 9)",-77
32,Agent_3,"(9, 9)",-62
33,Agent_0,"(9, 9)",-29
33,Agent_1,"(9, 9)",-66
33,Agent_2,"(9, 9)",-28
33,Agent_3,"(9, 9)",-42
34,Agent_0,"(9, 9)",-96
34,Agent_1,"(9, 9)",-60
34,Agent_2,"(9, 9)",-11
34,Agent_3,"(9, 9)",-145
35,Agent_0,"(9, 9)",-29
35,Agent_1,"(9, 9)",-68
35,Agent_2,"(9, 9)",-178
35,Agent_3,"(9, 9)",-22
36,Agent_0,"(9, 9)",-124
36,Agent_1,"(9, 9)",-22
36,Agent_2,"(9, 9)",-68
36,Agent_3,"(9, 9)",-34
37,Agent_0,"(9, 9)",-82
37,Agent_1,"(9, 9)",-73
37,Agent_2,"(9, 9)",-33
37,Agent_3,"(9, 9)",-82
38,Agent_0,"(9, 9)",-47
38,Agent_1,"(9, 9)",-75
38,Agent_2,"(9, 9)",-104
38,Agent_3,"(9, 9)",-78
39,Agent_0,"(9, 9)",-102
39,Agent_1,"(9, 9)",-102
39,Agent_2,"(9, 9)",-51
39,Agent_3,"(9, 9)",-72
40,Agent_0,"(9, 9)",-42
40,Agent_1,"(9, 9)",-48
40,Agent_2,"(9, 9)",-55
40,Agent_3,"(9, 9)",-42
41,Agent_0,"(9, 9)",-23
41,Agent_1,"(9, 9)",-131
41,Agent_2,"(9, 9)",-41
41,Agent_3,"(9, 9)",-127
42,Agent_0,"(9, 9)",-51
42,Agent_1,"(9, 9)",-91
42,Agent_2,"(9, 9)",-111
42,Agent_3,"(9, 9)",-66
43,Agent_0,"(9, 9)",-89
43,Agent_1,"(9, 9)",-80
43,Agent_2,"(9, 9)",-87
43,Agent_3,"(9, 9)",-56
44,Agent_0,"(9, 9)",-169
44,Agent_1,"(9, 9)",-47
44,Agent_2,"(9, 9)",-74
44,Agent_3,"(9, 9)",-45
45,Agent_0,"(9, 9)",-20
45,Agent_1,"(9, 9)",-16
45,Agent_2,"(9, 9)",-48
45,Agent_3,"(9, 9)",-48
46,Agent_0,"(9, 9)",-14
46,Agent_1,"(9, 9)",-60
46,Agent_2,"(9, 9)",-75
46,Agent_3,"(9, 9)",-44
47,Agent_0,"(9, 9)",-64
47,Agent_1,"(9, 9)",-53
47,Agent_2,"(9, 9)",-59
47,Agent_3,"(9, 9)",-56
48,Agent_0,"(9, 9)",-57
48,Agent_1,"(9, 9)",-14
48,Agent_2,"(9, 9)",-41
48,Agent_3,"(9, 9)",-61
49,Agent_0,"(9, 9)",-59
49,Agent_1,"(9, 9)",-4
49,Agent_2,"(9, 9)",-70
49,Agent_3,"(9, 9)",-37
50,Agent_0,"(9, 9)",-75
50,Agent_1,"(9, 9)",-119
50,Agent_2,"(9, 9)",-23
50,Agent_3,"(9, 9)",-28
51,Agent_0,"(9, 9)",-21
51,Agent_1,"(9, 9)",-68
51,Agent_2,"(9, 9)",-40
51,Agent_3,"(9, 9)",-79
52,Agent_0,"(9, 9)",-51
52,Agent_1,"(9, 9)",-42
