Episode,Total Reward,Episode Length
1,-855,876
2,-99,120
3,-135,156
4,-137,158
5,-220,241
6,-329,350
7,-297,318
8,-53,74
9,-151,172
10,-95,116
11,-312,333
12,-38,59
13,-135,156
14,-125,146
15,-270,291
16,-35,56
17,-82,103
18,-285,306
19,-19,40
20,-78,99
21,-224,245
22,-93,114
23,-159,180
24,-44,65
25,-79,100
26,-25,46
27,-120,141
28,-146,167
29,-28,49
30,-22,43
31,-63,84
32,-130,151
33,-125,146
34,-53,74
35,-96,117
36,-49,70
37,-49,70
38,-105,126
39,-40,61
40,-38,59
41,-49,70
42,-57,78
43,-66,87
44,-51,72
45,-67,88
46,-100,121
47,-28,49
48,-65,86
49,-31,52
50,-72,93
51,-43,64
52,-69,90
53,-35,56
54,-32,53
55,-90,111
56,-51,72
57,-17,38
58,-47,68
59,-87,108
60,-51,72
61,-54,75
62,-47,68
63,-45,66
64,-31,52
65,-81,102
66,-53,74
67,-30,51
68,-22,43
69,-39,60
70,-76,97
71,-23,44
72,-22,43
73,-4,25
74,-38,59
75,-26,47
76,-12,33
77,-74,95
78,-58,79
79,-14,35
80,-15,36
81,-25,46
82,-94,115
83,-22,43
84,-37,58
85,-26,47
86,-4,25
87,-7,28
88,-20,41
89,-21,42
90,-3,24
91,-22,43
92,-43,64
93,-25,46
94,-36,57
95,-45,66
96,-16,37
97,-30,51
98,-14,35
99,-37,58
100,-70,91
101,-16,37
102,-5,26
103,-53,74
104,-18,39
105,-5,26
106,-33,54
107,-16,37
108,-27,48
109,-4,25
110,-51,72
111,-5,26
112,-8,29
113,-47,68
114,-6,27
115,-12,33
116,-34,55
117,-4,25
118,-52,73
119,-17,38
120,-36,57
121,-1,22
122,-10,31
123,-10,31
124,-1,22
125,-18,39
126,-40,61
127,-36,57
128,-8,29
129,-15,36
130,-11,32
131,-48,69
132,-21,42
133,-12,33
134,-5,26
135,-20,41
136,-29,50
137,-6,27
138,-6,27
139,-18,39
140,-23,44
141,-7,28
142,-20,41
143,-12,33
144,-13,34
145,-14,35
146,-2,23
147,-15,36
148,-11,32
149,1,20
150,-19,40
151,-37,58
152,-9,30
153,-12,33
154,-2,23
155,-16,37
156,-14,35
157,-24,45
158,-4,25
159,-17,38
160,-32,53
161,-37,58
162,-6,27
163,-7,28
164,-6,27
165,-2,23
166,-16,37
167,-15,36
168,-3,24
169,-9,30
170,-14,35
171,-15,36
172,-4,25
173,-21,42
174,-21,42
175,-13,34
176,-12,33
177,-5,26
178,-12,33
179,-4,25
180,-1,22
181,-12,33
182,-13,34
183,-19,40
184,-14,35
185,-25,46
186,-9,30
187,-8,29
188,-9,30
189,-10,31
190,-1,22
191,-12,33
192,2,19
193,-16,37
194,-8,29
195,0,21
196,-5,26
197,-28,49
198,-7,28
199,-10,31
200,1,20
