Episode,Total Reward,Episode Length
1,-322,343
2,-461,482
3,-149,170
4,-101,122
5,-563,584
6,-211,232
7,-191,212
8,-54,75
9,-21,42
10,-373,394
11,-74,95
12,-106,127
13,-219,240
14,-50,71
15,-146,167
16,-96,117
17,-299,320
18,-97,118
19,-301,322
20,-119,140
21,-31,52
22,-52,73
23,-106,127
24,-110,131
25,-38,59
26,-26,47
27,-299,320
28,-82,103
29,-25,46
30,-33,54
31,-24,45
32,-43,64
33,-32,53
34,-112,133
35,-242,263
36,-46,67
37,-63,84
38,-67,88
39,-104,125
40,-29,50
41,-48,69
42,-72,93
43,-23,44
44,-62,83
45,-67,88
46,-77,98
47,-56,77
48,-19,40
49,-64,85
50,-72,93
51,-29,50
52,-59,80
53,-28,49
54,-3,24
55,-66,87
56,-63,84
57,-56,77
58,-30,51
59,-48,69
60,-45,66
61,-61,82
62,-50,71
63,-20,41
64,-48,69
65,-76,97
66,-23,44
67,-27,48
68,-67,88
69,-45,66
70,-12,33
71,-33,54
72,-41,62
73,-41,62
74,-23,44
75,-19,40
76,-16,37
77,-18,39
78,-32,53
79,-58,79
80,-40,61
81,-26,47
82,-31,52
83,-20,41
84,-10,31
85,-64,85
86,-28,49
87,-28,49
88,-66,87
89,-22,43
90,-24,45
91,-41,62
92,-5,26
93,-24,45
94,-30,51
95,-16,37
96,-75,96
97,-35,56
98,-12,33
99,1,20
100,-25,46
101,-17,38
102,-24,45
103,-7,28
104,-24,45
105,-31,52
106,-26,47
107,-68,89
108,-15,36
109,-31,52
110,-8,29
111,-37,58
112,-9,30
113,-34,55
114,-13,34
115,-6,27
116,-19,40
117,-11,32
118,-22,43
119,-29,50
120,-9,30
121,-20,41
122,-23,44
123,-8,29
124,-46,67
125,-25,46
126,-20,41
127,-13,34
128,-13,34
129,-17,38
130,-5,26
131,-36,57
132,-5,26
133,-18,39
134,-6,27
135,-15,36
136,-5,26
137,-9,30
138,-7,28
139,-43,64
140,-2,23
141,-7,28
142,-36,57
143,-3,24
144,-18,39
145,-7,28
146,1,20
147,-9,30
148,-16,37
149,-42,63
150,-7,28
151,-12,33
152,-24,45
153,-20,41
154,-27,48
155,-27,48
156,-11,32
157,-10,31
158,-4,25
159,-5,26
160,-17,38
161,-20,41
162,-7,28
163,-16,37
164,-13,34
165,-18,39
166,-6,27
167,-3,24
168,-12,33
169,-7,28
170,-9,30
171,-19,40
172,-2,23
173,1,20
174,-2,23
175,-13,34
176,-28,49
177,-20,41
178,-10,31
179,-16,37
180,-6,27
181,-12,33
182,-6,27
